Staphylococcus test positive,,,,
Abortion spontaneous,,,,
Muscle fatigue,muscle_weakness,fatigue,muscle_wasting,
Ectopic pregnancy with contraceptive device,,,,
Deja vu,,,,
Renal hypoplasia,,,,
Psychosexual disorder,,,,
Blood pH decreased,,,,
Ocular toxicity,,,,
Electrocardiogram QRS complex prolonged,,,,
Nose deformity,,,,
Cervix carcinoma stage I,,,,
Therapeutic product effect variable,,,,
Open globe injury,,,,
Performance enhancing product use,,,,
Erythema multiforme,,,,
Koilonychia,,,,
Skin mass,,,,
Undifferentiated connective tissue disease,,,,
CSF shunt operation,,,,
Somatosensory evoked potentials abnormal,,,,
Normochromic normocytic anaemia,,,,
Post procedural haematoma,,,,
Blast cell count decreased,,,,
Chest tube insertion,,,,
Amylase increased,,,,
Hypothalamo-pituitary disorder,,,,
Ovarian cancer stage I,,,,
Post procedural complication,,,,
Asbestosis,,,,
Hyperchlorhydria,,,,
Prohormone brain natriuretic peptide increased,,,,
Hepatic enzyme decreased,,,,
Manual lymphatic drainage,,,,
Exposure to SARS-CoV-2,,,,
Respirovirus test positive,,,,
Corneal neovascularisation,,,,
Myocardiac abscess,,,,
Precancerous lesion of digestive tract,,,,
Cell death,,,,
Meningitis aseptic,,,,
Oligodendroglioma,,,,
Gastric operation,,,,
Peripheral embolism,,,,
Sensitisation,,,,
Lupus endocarditis,,,,
Low cardiac output syndrome,,,,
Dermatillomania,,,,
Vascular device occlusion,,,,
Salivary gland cancer,,,,
Autoimmune pancreatitis,,,,
Tracheal obstruction,,,,
Pneumomediastinum,,,,
Sticky skin,,,,
Regurgitation,,,,
Infected lymphocele,,,,
Oxalosis,,,,
Knee deformity,,,,
Oropharyngeal discomfort,,,,
Prothrombin time shortened,,,,
Anterior chamber disorder,,,,
Breast fibroma,,,,
Epstein-Barr virus test positive,,,,
Hepatic infarction,,,,
Vasodilatation,,,,
Vulval oedema,,,,
Tracheostomy malfunction,,,,
Non-small cell lung cancer stage I,,,,
Meningism,,,,
Blood glucagon abnormal,,,,
Product leakage,,,,
Cortical dysplasia,,,,
Ejaculation disorder,,,,
Hypermobility syndrome,,,,
SARS-CoV-2 test negative,,,,
Skull malformation,,,,
Urethral pain,,,,
Allergic respiratory symptom,,,,
Uterine injury,,,,
Macule,,,,
Bladder dysfunction,,,,
Substance abuser,,,,
Spinal cord haematoma,,,,
Bile acid malabsorption,,,,
Gastroenteritis radiation,,,,
Blood zinc decreased,,,,
Toxic anterior segment syndrome,,,,
Cholecystectomy,,,,
Aortic valve disease,,,,
Anastomotic infection,,,,
Hyperaldosteronism,,,,
Infection in an immunocompromised host,,,,
Carotid artery dolichoectasia,,,,
Hypochromasia,,,,
Enterococcal bacteraemia,,,,
Palatal swelling,,,,
Sickle cell anaemia with crisis,,,,
Wound infection staphylococcal,,,,
Facial discomfort,,,,
Bacterial tracheitis,,,,
Penile torsion,,,,
Electrophoresis,,,,
Intervertebral disc injury,,,,
Dysphonia,,,,
Anal pruritus,,,,
Keratoacanthoma,,,,
Muscular weakness,weakness_in_limbs,weakness_of_one_body_side,,
Large intestinal ulcer,,,,
Injection site laceration,,,,
Anxiety,anxiety,,,
Stoma site induration,,,,
Electrocardiogram repolarisation abnormality,,,,
Malignant cranial nerve neoplasm,,,,
Blood copper increased,,,,
Needle fatigue,,,,
Irritable bowel syndrome,pain_during_bowel_movements,,,
Tick-borne viral encephalitis,,,,
Granulomatous rosacea,,,,
Silicosis,,,,
Ureteric cancer,,,,
Gastrointestinal stoma output decreased,,,,
Pharyngeal neoplasm,,,,
Vitreoretinal traction syndrome,,,,
Radicular pain,,,,
Central nervous system abscess,,,,
Onychomycosis,,,,
Urinary tract infection pseudomonal,,,,
Pneumocentesis,,,,
Peripheral artery stenosis,,,,
Drug therapy,,,,
Penile curvature,,,,
Joint range of motion decreased,,,,
Skin graft scar,,,,
Morning sickness,,,,
Abortion infected,,,,
Device defective,,,,
Sudden cardiac death,,,,
Anhedonia,,,,
Hypopigmentation of eyelid,,,,
Kawasaki's disease,,,,
Foreign body sensation in eyes,,,,
Facial paralysis,,,,
Uterine disorder,,,,
Mean cell volume abnormal,,,,
Disease complication,,,,
Sudden infant death syndrome,,,,
Strabismus,,,,
Somnambulism,,,,
Leukoencephalopathy,,,,
Breast necrosis,,,,
Idiopathic guttate hypomelanosis,,,,
Squamous cell carcinoma of lung,,,,
Otolithiasis,,,,
Hormone level abnormal,,,,
Glomerular filtration rate abnormal,,,,
Obstructive defaecation,,,,
Ophthalmic artery thrombosis,,,,
Avian influenza,,,,
Chronic kidney disease,,,,
Seizure cluster,,,,
Scrotal mass,,,,
Epilepsy with myoclonic-atonic seizures,,,,
Right ventricular systolic pressure increased,,,,
Costochondritis,,,,
Tonsillar erythema,,,,
Vertebral artery dissection,,,,
Ulna fracture,,,,
Focal nodular hyperplasia,,,,
Floppy infant,,,,
X-ray abnormal,,,,
Uveitis-glaucoma-hyphaema syndrome,,,,
Nasal dryness,,,,
Pneumopericardium,,,,
Opisthotonus,,,,
Symptom recurrence,,,,
Hypersensitivity myocarditis,,,,
Mastoid disorder,,,,
Chronic sinusitis,sinus_pressure,,,
Pus in stool,,,,
Aspiration pleural cavity,,,,
Heart disease congenital,,,,
Thrombotic stroke,,,,
Weight decrease neonatal,,,,
Postictal state,,,,
Micrographic skin surgery,,,,
Alcohol poisoning,,,,
Infusion site cyst,,,,
Diastolic hypotension,,,,
Dyspnoea exertional,,,,
Lack of administration site rotation,,,,
Gingival recession,,,,
Palatal disorder,,,,
Gastric ulcer haemorrhage,,,,
Incoherent,,,,
Motor neurone disease,,,,
Paraparesis,,,,
Haemorrhagic pneumonia,,,,
Meningitis borrelia,,,,
Spinal synovial cyst,,,,
Herpes simplex reactivation,,,,
Mesenteric cyst,,,,
Gender dysphoria,,,,
Oropharyngeal pain,,,,
Gambling disorder,,,,
Bundle branch block bilateral,,,,
Post procedural cellulitis,,,,
Pseudoporphyria,,,,
Catarrh,,,,
Osteomyelitis acute,,,,
Mycobacterial infection,,,,
Lung adenocarcinoma,,,,
False negative investigation result,,,,
Incontinence,,,,
Post procedural urine leak,,,,
Gangrene neonatal,,,,
Staphylococcal infection,,,,
Coronary artery disease,,,,
Salivary gland mass,,,,
Vocal cord dysfunction,,,,
Latent tuberculosis,,,,
Cholecystitis chronic,,,,
Superinfection viral,,,,
Gastric varices,,,,
Bladder transitional cell carcinoma stage II,,,,
Kinesiophobia,,,,
Mycobacterium marinum infection,,,,
Needle issue,,,,
Ulnar nerve injury,,,,
Trimethylaminuria,,,,
Ventricle rupture,,,,
DNA antibody negative,,,,
CREST syndrome,,,,
Febrile neutropenia,,,,
Congenital multiplex arthrogryposis,,,,
Gastric antral vascular ectasia,,,,
Wrong dosage form,,,,
Decreased immune responsiveness,,,,
Subretinal fluid,,,,
Abdominal adhesions,,,,
Vascular malformation,,,,
Aspergillus test positive,,,,
Subdural haemorrhage,,,,
Neonatal multi-organ failure,,,,
Cardiac ventricular thrombosis,,,,
Atrioventricular dissociation,,,,
Poor quality device used,,,,
Anal inflammation,pain_in_anal_region,pain_during_bowel_movements,,
Thrombosis prophylaxis,,,,
Extrasystoles,,,,
Catheter removal,,,,
Hepatitis E antibody,,,,
Genital odour,,,,
Hemiplegic migraine,,,,
Venous haemorrhage,,,,
Injection site nodule,,,,
Cutaneous sporotrichosis,,,,
Death of relative,,,,
Spider vein,prominent_veins_on_calf,,,
Hyporesponsive to stimuli,,,,
Traumatic delivery,,,,
Incision site rash,,,,
Actinomycosis,,,,
Biliary dyskinesia,,,,
Rib fracture,,,,
Immature respiratory system,,,,
Benign ovarian tumour,,,,
Osteorrhagia,,,,
Injection site vesicles,,,,
Tidal volume decreased,,,,
Pelvic abscess,,,,
Mitral valve disease,,,,
Infection reactivation,,,,
Lymphoma transformation,,,,
Personal relationship issue,,,,
Adjusted calcium increased,,,,
Acquired oesophageal web,,,,
Faecal volume decreased,,,,
Urinary bladder polyp,,,,
Cryoglobulinaemia,,,,
Pulmonary granuloma,,,,
Gram stain positive,,,,
Scar,,,,
Contraceptive implant,,,,
Protein-losing gastroenteropathy,,,,
Coccydynia,,,,
Costal cartilage fracture,,,,
Acute lymphocytic leukaemia,,,,
Ovarian epithelial cancer,,,,
Oesophageal carcinoma stage 0,,,,
Product coating issue,,,,
Mineral deficiency,,,,
Ballismus,,,,
Polypoidal choroidal vasculopathy,,,,
Adverse drug reaction,,,,
Iliotibial band syndrome,,,,
Glomerulonephritis chronic,,,,
Colitis ischaemic,,,,
Hyperpyrexia,,,,
Bacterial food poisoning,,,,
Waist circumference decreased,,,,
Vasospasm,,,,
Allergy to immunoglobulin therapy,,,,
Acute graft versus host disease,,,,
Catheter site granuloma,,,,
Vagus nerve disorder,,,,
Vesical fistula,,,,
Carcinoid heart disease,,,,
Metastases to spleen,,,,
Anal candidiasis,pain_in_anal_region,,,
Intestinal varices,,,,
Leptospirosis,,,,
Hyphaema,,,,
Blood brain barrier defect,,,,
Allergic reaction to excipient,,,,
Multiple use of single-use product,,,,
Dust allergy,,,,
Blood growth hormone abnormal,,,,
Fungal pharyngitis,,,,
Hepatic lesion,,,,
Bezoar,,,,
Labile hypertension,,,,
Secretion discharge,,,,
Chronic graft versus host disease oral,,,,
Fallopian tube operation,,,,
Haemosiderin stain,,,,
Rotavirus test positive,,,,
Retained placenta or membranes,,,,
Hyperplasia adrenal,,,,
Vitreous detachment,,,,
Carcinoid tumour pulmonary,,,,
Thyroxine free abnormal,,,,
Postural orthostatic tachycardia syndrome,,,,
Blood pressure systolic,,,,
Vulval cancer,,,,
Pelvic floor muscle weakness,,,,
Conjunctival cyst,,,,
Bronchopulmonary aspergillosis,,,,
Total cholesterol/HDL ratio decreased,,,,
Ankle deformity,,,,
"Hallucination, auditory",,,,
Respiratory rate decreased,,,,
Acute left ventricular failure,,,,
Vasomotor rhinitis,,,,
Cerebral thrombosis,,,,
Head and neck cancer,,,,
Congenital bowing of long bones,,,,
Haemorrhagic necrotic pancreatitis,,,,
Compulsive lip biting,,,,
Urinary tract inflammation,,,,
Abdominal wall haematoma,,,,
Protein S deficiency,,,,
Vaginal flatulence,,,,
Acrochordon excision,,,,
Procedural shock,,,,
Cardiac pacemaker adjustment,,,,
Vitreous floaters,,,,
Oophorectomy bilateral,,,,
Chordee,,,,
Stoma site rash,,,,
Metabolic syndrome,,,,
Hepatobiliary disease,,,,
Expanded disability status scale score increased,,,,
Respiratory tract infection fungal,,,,
Fatty acid deficiency,,,,
Neonatal hyponatraemia,,,,
Acute stress disorder,,,,
Metastases to trachea,,,,
Malaria,,,,
Mood altered,mood_swings,,,
Metastases to abdominal wall,,,,
Autoimmune thyroid disorder,,,,
Nervous system injury,,,,
Ultrafiltration failure,,,,
Tongue discomfort,,,,
Pre-engraftment immune reaction,,,,
Radical prostatectomy,,,,
Ventricular septal defect,,,,
Parathyroid tumour,,,,
Multi-organ disorder,,,,
Incorrect dosage administered,,,,
Full blood count abnormal,,,,
Sigmoidoscopy,,,,
Vulvovaginal injury,,,,
Suicide threat,,,,
Urticaria pressure,,,,
Cardiac complication associated with device,,,,
Androgen insensitivity syndrome,,,,
Oedematous kidney,,,,
Acetonaemia,,,,
Pancreatic necrosis,,,,
Limb mass,,,,
Extranodal marginal zone B-cell lymphoma (MALT type),,,,
Very low density lipoprotein increased,,,,
Erythroblast count abnormal,,,,
Human T-cell lymphotropic virus type I infection,,,,
Ammonia decreased,,,,
Chromosome analysis abnormal,,,,
Buttock injury,,,,
Lactobacillus test positive,,,,
Nontherapeutic agent urine positive,,,,
Hernia hiatus repair,,,,
Quality of life decreased,,,,
Myringitis,,,,
Discomfort,,,,
Unmasking of previously unidentified disease,,,,
Suicidal ideation,,,,
Injection site swelling,,,,
Collateral circulation,,,,
Wrist surgery,,,,
Salmonella test positive,,,,
Elbow operation,,,,
Internal haemorrhage,,,,
Bladder cyst,,,,
Glossectomy,,,,
Xanthogranuloma,,,,
Tryptase decreased,,,,
Malignant glioma,,,,
Product selection error,,,,
Complication of device removal,,,,
Exposure via skin contact,,,,
Vitamin supplementation,,,,
B precursor type acute leukaemia,,,,
Pancreatic atrophy,,,,
Musculoskeletal chest pain,chest_pain,,,
Nephritis,,,,
Thrombolysis,,,,
Urine amphetamine positive,,,,
Neurofibromatosis,,,,
Left ventricular dysfunction,,,,
Truncus arteriosus persistent,,,,
Hepatitis fulminant,,,,
Radiculotomy,,,,
Histology abnormal,,,,
Cytomegalovirus chorioretinitis,,,,
Food intolerance,,,,
Tractional retinal detachment,,,,
Nipple exudate bloody,,,,
Erosive oesophagitis,,,,
Incision site haemorrhage,,,,
Vulvitis,,,,
Hyposmia,,,,
Pneumocystis jirovecii pneumonia,,,,
Postrenal failure,,,,
Drug administered in wrong device,,,,
Microcephaly,,,,
Purpura,,,,
Hyperemesis gravidarum,,,,
Impaired self-care,,,,
Respiration abnormal,,,,
Uterine cervix stenosis,,,,
Interventional procedure,,,,
Exposure via direct contact,,,,
Gastrointestinal disorder,,,,
Erythrodermic psoriasis,,,,
Oedema,,,,
Chemical poisoning,,,,
Angiokeratoma,,,,
Ventricular fibrillation,,,,
Haematinuria,,,,
Pudendal canal syndrome,,,,
Perineal abscess,,,,
Application site wound,,,,
Apoptosis,,,,
Nail avulsion,small_dents_in_nails,,,
Sputum purulent,blood_in_sputum,mucoid_sputum,,
Enterocolitis infectious,,,,
Brain scan abnormal,,,,
Argyria,,,,
Prostatic abscess,,,,
Neck dissection,,,,
Adrenal cortex necrosis,,,,
Attention deficit hyperactivity disorder,,,,
Drop attacks,,,,
Inflammatory marker increased,,,,
Laboratory test abnormal,,,,
Lymphatic disorder,,,,
Brachial plexopathy,,,,
Gas poisoning,,,,
Gastrointestinal injury,,,,
Epiphyseal fracture,,,,
Arthropathy,,,,
Fracture infection,,,,
Sputum retention,blood_in_sputum,mucoid_sputum,,
Activated protein C resistance,,,,
Crime,,,,
Exposure during pregnancy,,,,
CYP2D6 polymorphism,,,,
Osteomalacia,,,,
Chronic gastrointestinal bleeding,stomach_bleeding,,,
Decreased eye contact,,,,
Crush injury,,,,
IIIrd nerve paralysis,,,,
Cardiac amyloidosis,,,,
Asterixis,,,,
Aortic valve calcification,,,,
Perinatal stroke,,,,
Ureteric rupture,,,,
Bone metabolism biochemical marker increased,,,,
Myelocyte count increased,,,,
Fracture delayed union,,,,
Blood bilirubin increased,,,,
Paraspinal abscess,,,,
Ileocaecal resection,,,,
Haptoglobin increased,,,,
Hypotensive crisis,,,,
Abdominal cavity drainage,,,,
Dacryostenosis acquired,,,,
Myocarditis,,,,
Superficial vein prominence,prominent_veins_on_calf,,,
Rheumatic disorder,,,,
Intestinal anastomosis complication,,,,
Red blood cell acanthocytes present,,,,
Enterostomy,,,,
Euglycaemic diabetic ketoacidosis,,,,
Vascular occlusion,,,,
Stoma site erythema,,,,
Systemic sclerosis pulmonary,,,,
Laboratory test,,,,
Radical mastectomy,,,,
Muscle tightness,,,,
Breast prosthesis removal,,,,
Intraductal papillary mucinous neoplasm,,,,
Anomalous pulmonary venous connection,,,,
Sclerema,,,,
Shock haemorrhagic,,,,
Renal tubular atrophy,,,,
Discoloured vomit,,,,
Breast cyst rupture,,,,
Defiant behaviour,,,,
Radiotherapy,,,,
Vitreous haemorrhage,,,,
Drug dispensed to wrong patient,,,,
Defaecation disorder,,,,
Androgens increased,,,,
Cardiac output increased,,,,
HIV associated nephropathy,,,,
Occipital neuralgia,,,,
Gingival blister,,,,
Glucose urine present,,,,
Invasive ductal breast carcinoma,,,,
Oral viral infection,,,,
Dopamine dysregulation syndrome,,,,
Opiates positive,,,,
Perthes disease,,,,
Intentional removal of drug delivery system by patient,,,,
Breast cancer metastatic,,,,
Breast injury,,,,
Feeling cold,cold_hands_and_feets,,,
Glutathione decreased,,,,
Bacterial rhinitis,,,,
Blood urea nitrogen/creatinine ratio decreased,,,,
Cystic fibrosis pancreatic,,,,
Ductus arteriosus stenosis foetal,,,,
Splenic marginal zone lymphoma,,,,
Mucosal prolapse syndrome,,,,
Hydrocephalus,,,,
Organ failure,,,,
Phaeohyphomycotic brain abscess,,,,
Paget's disease of nipple,,,,
Pain in jaw,,,,
Eye prosthesis insertion,,,,
Tumour marker increased,,,,
Neoplasm of orbit,,,,
Aminoaciduria,,,,
Intraventricular haemorrhage neonatal,,,,
Paraproteinaemia,,,,
Septo-optic dysplasia,,,,
Device physical property issue,,,,
Post herpetic neuralgia,,,,
Aplasia pure red cell,,,,
Cranial operation,,,,
Pulmonary artery occlusion,,,,
Bronchial irritation,,,,
Arterial bruit,,,,
Laryngomalacia,,,,
Transfusion-related circulatory overload,,,,
Ureteric perforation,,,,
Ankyloglossia congenital,,,,
Transaminases,,,,
Purging,,,,
Electrophoresis abnormal,,,,
Eye laser surgery,,,,
Hyperintensity in brain deep nuclei,,,,
Peritoneal neoplasm,,,,
Capnocytophaga infection,,,,
Foreign body in throat,throat_irritation,,,
Pneumonia herpes viral,,,,
Graft versus host disease in eye,,,,
Biliary adenoma,,,,
Nail bed infection,small_dents_in_nails,,,
Ocular neoplasm,,,,
Pyopneumothorax,,,,
Paradoxical embolism,,,,
Arthralgia,,,,
Corneal disorder,,,,
Sciatica,,,,
Nephrocalcinosis,,,,
Aberrant aortic arch,,,,
Device kink,,,,
Tenodesis,,,,
Lymph node haemorrhage,,,,
Lung neoplasm malignant,,,,
Vitiligo,,,,
CSF glucose increased,,,,
Myocarditis septic,,,,
Emphysematous pyelonephritis,,,,
Foot operation,,,,
Acute allograft nephropathy,,,,
Eyelid abrasion,,,,
Nasal sinus irrigation,,,,
Psychomotor retardation,,,,
Fibula fracture,,,,
Embolism venous,,,,
Double stranded DNA antibody,,,,
Implant site scar,,,,
Mucosal hypertrophy,,,,
Adenosquamous cell lung cancer,,,,
Implant site cellulitis,,,,
Inflammation of wound,,,,
Ejection fraction decreased,,,,
Mixed dementia,,,,
Bone fissure,,,,
Lung infiltration,,,,
Contrast media toxicity,,,,
Acromegaly,,,,
Eye infection fungal,watering_from_eyes,,,
Congestive hepatopathy,,,,
"Dementia of the Alzheimer's type, uncomplicated",,,,
Eosinophil count increased,,,,
Uveitis,,,,
Complement factor decreased,,,,
Synovial disorder,,,,
Nasal oedema,,,,
Lymphopenia,,,,
Mucosal infection,,,,
Patellofemoral pain syndrome,,,,
Drug-device interaction,,,,
Mouth breathing,,,,
Aplasia,,,,
Eczema infected,,,,
Blood immunoglobulin A decreased,,,,
Gerstmann's syndrome,,,,
Fear of animals,,,,
Central pain syndrome,,,,
Cardioactive drug level increased,,,,
Duodenal stenosis,,,,
Cerebellar hypoplasia,,,,
Spleen disorder,,,,
Pleural disorder,,,,
Hypereosinophilic syndrome,,,,
Cranial sutures widening,,,,
Asynclitic presentation,,,,
Swollen joint count increased,swelling_joints,,,
Cat scratch disease,,,,
Urine phosphorus increased,,,,
Appetite disorder,loss_of_appetite,,,
Hip disarticulation,,,,
Serratia sepsis,,,,
Metastases to lung,,,,
